epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9572,1.7069,3.92875,1.39115,0.00424,0.84848,0.00623,0.00373,1.21917,3.85188,1.0653,0.0002,0.0002,0.0002
2,40.9841,1.32141,2.12285,1.10063,0.00485,0.9697,0.00792,0.00494,1.09757,3.71541,0.99858,0.000415842,0.000415842,0.000415842
3,50.7995,1.29266,1.75554,1.10147,0.00485,0.9697,0.00877,0.00554,1.14854,3.70727,1.00724,0.000627328,0.000627328,0.000627328
4,60.6165,1.42619,1.66075,1.13621,0.00409,0.81818,0.03768,0.02553,1.16927,3.62448,1.04135,0.000834458,0.000834458,0.000834458
5,70.1592,1.32703,1.60752,1.11248,0.00379,0.75758,0.38952,0.29352,1.22019,3.59422,1.07419,0.00103723,0.00103723,0.00103723
6,79.9703,1.34475,1.48364,1.11578,1,0.27424,0.54622,0.36187,1.26855,3.4648,1.08205,0.00123565,0.00123565,0.00123565
7,89.2737,1.33079,1.48892,1.11594,1,0.1202,0.53222,0.3157,1.35755,3.40646,1.16407,0.00142971,0.00142971,0.00142971
8,99.2865,1.28742,1.41406,1.13706,0.94069,0.42424,0.63618,0.39034,1.40838,2.95362,1.13879,0.00161942,0.00161942,0.00161942
9,110.327,1.32645,1.44919,1.16101,1,0.32205,0.63521,0.37935,1.46139,3.02228,1.19928,0.00180477,0.00180477,0.00180477
10,122.466,1.40559,1.40142,1.14628,0.86052,0.37437,0.55451,0.34048,1.47912,2.99504,1.25022,0.0018218,0.0018218,0.0018218
11,134.228,1.37574,1.3565,1.15602,0.73496,0.45455,0.53292,0.31226,1.49243,2.56364,1.31027,0.001802,0.001802,0.001802
12,146.264,1.40335,1.30525,1.14323,0.7212,0.39204,0.45607,0.28453,1.49969,2.60048,1.23931,0.0017822,0.0017822,0.0017822
13,158.788,1.25313,1.22726,1.10955,0.65396,0.45827,0.52838,0.31303,1.51034,2.54865,1.2792,0.0017624,0.0017624,0.0017624
14,171.371,1.2942,1.16881,1.09986,0.79598,0.70963,0.74864,0.44015,1.44401,1.96308,1.2922,0.0017426,0.0017426,0.0017426
15,183.447,1.30009,1.1128,1.1105,0.85466,0.71307,0.79912,0.4814,1.41741,1.62212,1.30998,0.0017228,0.0017228,0.0017228
16,195.236,1.23198,1.06616,1.12079,0.87066,0.81818,0.79226,0.45491,1.41998,1.46577,1.25924,0.001703,0.001703,0.001703
17,207.31,1.21007,1.04478,1.09293,0.8744,0.72727,0.81709,0.50892,1.34073,1.36109,1.18732,0.0016832,0.0016832,0.0016832
18,220.705,1.20892,1.0716,1.07733,0.98502,0.78788,0.87572,0.56555,1.31051,1.26056,1.19391,0.0016634,0.0016634,0.0016634
19,235.076,1.22843,1.04174,1.09688,0.95641,0.72727,0.84442,0.54511,1.43391,1.31104,1.32271,0.0016436,0.0016436,0.0016436
20,248.328,1.16819,0.94093,1.06394,0.8454,0.75758,0.83484,0.53315,1.38874,1.26998,1.2287,0.0016238,0.0016238,0.0016238
21,262.281,1.24321,0.94799,1.05619,0.83166,0.81818,0.82044,0.46453,1.5118,1.30329,1.28873,0.001604,0.001604,0.001604
22,275.73,1.21057,0.90253,1.0637,0.83573,0.7711,0.82642,0.5728,1.23358,1.27376,1.12954,0.0015842,0.0015842,0.0015842
23,290.044,1.26839,0.91691,1.09523,0.87159,0.72727,0.82524,0.46446,1.41734,1.27597,1.26151,0.0015644,0.0015644,0.0015644
24,303.776,1.13021,0.88869,1.02668,0.91624,0.66313,0.67564,0.43415,1.27437,1.28902,1.15258,0.0015446,0.0015446,0.0015446
25,317.965,1.10637,0.84813,1.03411,0.8501,0.75758,0.82958,0.55723,1.22493,1.19134,1.15095,0.0015248,0.0015248,0.0015248
26,330.919,1.06729,0.81905,1.0273,0.82045,0.83103,0.87232,0.57946,1.27967,1.06199,1.16676,0.001505,0.001505,0.001505
27,346.112,1.11744,0.85858,1.0475,0.82791,0.81818,0.83404,0.51533,1.35501,1.12252,1.26389,0.0014852,0.0014852,0.0014852
28,359.423,1.13545,0.85788,1.01965,0.81653,0.81818,0.81061,0.48179,1.46997,1.18066,1.31633,0.0014654,0.0014654,0.0014654
29,373.153,1.04584,0.79561,1.01189,0.86747,0.79351,0.84364,0.53317,1.38732,1.11859,1.23164,0.0014456,0.0014456,0.0014456
30,386.02,1.07226,0.78596,1.01616,0.81917,0.84848,0.81899,0.536,1.33515,1.12821,1.17367,0.0014258,0.0014258,0.0014258
31,401.579,1.07167,0.78705,1.00307,0.83207,0.75093,0.76706,0.49605,1.27057,1.16201,1.12815,0.001406,0.001406,0.001406
32,417.127,1.04175,0.76062,0.99241,0.83622,0.77383,0.76445,0.50848,1.24053,1.07556,1.12329,0.0013862,0.0013862,0.0013862
33,432.229,1.09955,0.75611,1.02041,0.83883,0.78788,0.81802,0.51212,1.25685,0.98253,1.12263,0.0013664,0.0013664,0.0013664
34,447.137,1.09116,0.76163,1.03269,0.86371,0.66667,0.68993,0.44335,1.27778,0.99026,1.16925,0.0013466,0.0013466,0.0013466
35,461.653,1.02816,0.73854,1.00117,0.92216,0.51515,0.54368,0.33775,1.33112,1.025,1.21545,0.0013268,0.0013268,0.0013268
36,479.148,1.0903,0.74761,1.02701,0.91145,0.66667,0.77204,0.47999,1.23943,0.93757,1.12673,0.001307,0.001307,0.001307
37,493.953,1.00616,0.71782,0.99039,0.86553,0.7804,0.85224,0.54886,1.16743,0.89063,1.0861,0.0012872,0.0012872,0.0012872
38,509.239,0.99552,0.72373,0.98393,0.8398,0.84848,0.84648,0.56176,1.21477,1.01747,1.09831,0.0012674,0.0012674,0.0012674
39,522.043,1.01654,0.70166,0.99225,0.86352,0.76716,0.872,0.58486,1.24484,1.00412,1.13184,0.0012476,0.0012476,0.0012476
40,535.053,1.03902,0.71737,0.97305,0.95736,0.78788,0.90444,0.58829,1.27388,0.99267,1.14237,0.0012278,0.0012278,0.0012278
41,549.659,1.0485,0.70924,0.98358,0.93271,0.84022,0.89526,0.5758,1.25592,0.96273,1.12427,0.001208,0.001208,0.001208
42,564.164,1.02571,0.68302,0.98464,0.92034,0.84848,0.8998,0.58686,1.26307,0.9539,1.1468,0.0011882,0.0011882,0.0011882
