epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/bib,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,10,,,,,,,,,,,,,,,,,,0.11704037338495255,0.08520179241895676,0.20842280983924866,0.11729620397090912,0.3757575750350952,5.382367134094238,0.2155802994966507,0.11704037338495255,0.11130567640066147,0.39393940567970276,0.04600484296679497,0.5757575631141663
0,10,9.085227012634277,15.204545021057129,15.539772987365723,100.0,8.839322090148926,0.046644166111946106,0.05130032077431679,0.05570502579212189,1.9072017669677734,1.8154324293136597,1.8888096809387207,0.3835150897502899,0.40650197863578796,0.43979784846305847,,,,,,,,,,,,,,,
1,21,,,,,,,,,,,,,,,,,,0.3860643208026886,0.53125,0.6390390992164612,0.417147159576416,0.739393949508667,4.998743534088135,0.6079100966453552,0.3860643208026886,0.4428415298461914,0.7303030490875244,0.5483871102333069,0.5151515007019043
1,21,481.1477355957031,603.585205078125,301.9886474609375,87.78092956542969,5.287299633026123,0.02536008320748806,0.02964956872165203,0.03442792594432831,1.1327223777770996,1.0856595039367676,1.0416193008422852,0.23917673528194427,0.253998726606369,0.29688015580177307,,,,,,,,,,,,,,,
2,32,,,,,,,,,,,,,,,,,,0.44642606377601624,0.584269642829895,0.6163641214370728,0.45829325914382935,0.7909091114997864,5.06087589263916,0.5969013571739197,0.44642606377601624,0.5447604060173035,0.7848485112190247,0.4642857015132904,0.7878788113594055
2,32,2323.522705078125,2323.227294921875,912.3920288085938,7.694782733917236,5.303139686584473,0.02112598344683647,0.021683864295482635,0.02495887316763401,1.2083089351654053,1.20033597946167,1.1316927671432495,0.23039525747299194,0.22913815081119537,0.2524458169937134,,,,,,,,,,,,,,,
3,43,,,,,,,,,,,,,,,,,,0.5093359351158142,0.7647058963775635,0.803367018699646,0.5207805037498474,0.7848485112190247,4.506856918334961,0.7990013957023621,0.5093359351158142,0.5742366313934326,0.7848485112190247,0.7428571581840515,0.7878788113594055
3,43,3488.73291015625,3286.505615234375,1714.5625,0.4943840801715851,4.924463272094727,0.017498301342129707,0.0175517275929451,0.019792037084698677,1.0504207611083984,1.1721043586730957,1.2235829830169678,0.19563807547092438,0.1942189782857895,0.21221522986888885,,,,,,,,,,,,,,,
4,49,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
4,54,,,,,,,,,,,,,,,,,,0.6301619410514832,0.8787878751754761,0.8938533663749695,0.6361601948738098,0.8030303120613098,4.078100204467773,0.9002940654754639,0.6301619410514832,0.8120555281639099,0.8030303120613098,0.8787878751754761,0.8787878751754761
